x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity
9.136088330308212e-09,0.0,2.5002176698762923e-05,0.7277483940124512,0.0,6.991885343878641e-16,0.0,156922.375,0.0,62768.94921875,300.46502685546875,2.7648224529322088e-18,1.0021262168884275,0.0,9.607558025108997e-16,0.0,1.848115789471194e-05,2.3765468881720158e-07,0.0,0.0003201569488737,-0.0012678517960011,0.0320591442286968,0.0
3.7532622343405826e-08,0.0,5.056213922216557e-05,0.7277481555938721,0.0,7.190055584031481e-16,0.0,156922.3125,0.0,62768.921875,300.46502685546875,2.843186442238186e-18,1.0020536184310913,0.0,9.879867470948228e-16,0.0,1.848115789471194e-05,5.488332703862397e-07,2.060120016042078e-29,0.0003655309556052,-0.0014719187747687,0.0342558287084102,0.0
8.674717832946045e-08,0.0,7.669229671591893e-05,0.7277478575706482,0.0,7.393943296578288e-16,0.0,156922.234375,0.0,62768.89453125,300.4649963378906,2.923811736543729e-18,1.001969337463379,0.0,1.0160035264955613e-15,0.0,1.848115789471194e-05,9.427825489183306e-07,-3.643128504181445e-29,0.0004120378871448,-0.0017090170877054,0.0363700799643993,0.0
1.584429298873147e-07,0.0,0.0001034053202602,0.7277474999427795,0.0,7.602048703806829e-16,0.0,156922.15625,0.0,62768.86328125,300.4649963378906,3.0061050405544863e-18,1.0018725395202637,0.0,1.04459978231134e-15,0.0,1.8481156075722535e-05,1.4266402104112783e-06,-5.523118098084306e-29,0.0004597105726134,-0.001981251174584,0.038416925817728,0.0
2.543956725276076e-07,0.0,0.0001307141792494,0.7277470827102661,0.0,7.812038759343012e-16,0.0,156922.0625,0.0,62768.82421875,300.4649963378906,3.089143841092306e-18,1.0017625093460083,0.0,1.0734552302089789e-15,0.0,1.8481156075722535e-05,2.0081063212273875e-06,0.0,0.0005085848388262,-0.0022910246625542,0.0404080748558044,0.0
3.765014753298601e-07,0.0,0.0001586321159265,0.7277466058731079,0.0,8.027884988918272e-16,0.0,156921.953125,0.0,62768.78125,300.4649963378906,3.1744987473452752e-18,1.001638412475586,0.0,1.1031153594065089e-15,0.0,1.8481156075722535e-05,2.695492639759322e-06,-2.200651091668193e-28,0.0005586990155279,-0.002640880877152,0.0423528812825679,0.0
5.267846177048341e-07,0.0,0.0001871726562967,0.7277460694313049,0.0,8.25285058696191e-16,0.0,156921.84375,0.0,62768.734375,300.4649658203125,3.2634603678641282e-18,1.0014992952346802,0.0,1.1340288856077388e-15,0.0,1.8481156075722535e-05,3.497768830129644e-06,-2.1410645043775533e-28,0.0006100929458625,-0.0030335129704326,0.0442589372396469,0.0
7.074062295941985e-07,0.0,0.0002163496683351,0.7277454733848572,0.0,8.486539036175492e-16,0.0,156921.703125,0.0,62768.68359375,300.4649658203125,3.3558715383324798e-18,1.0013443231582642,0.0,1.1661410693084517e-15,0.0,1.8481156075722535e-05,4.424618964549154e-06,0.0,0.0006628080154769,-0.0034718089736998,0.0461325347423553,0.0
9.206736990563512e-07,0.0,0.0002461772528477,0.7277448177337646,0.0,8.725582321802496e-16,0.0,156921.5625,0.0,62768.625,300.4649658203125,3.4504007047592745e-18,1.0011723041534424,0.0,1.1989892187612102e-15,0.0,1.848115425673313e-05,5.486498594109435e-06,0.0,0.000716887472663,-0.0039588245563209,0.0479789674282074,0.0
1.1690502788042068e-06,0.0,0.0002766698889899,0.7277441024780273,0.0,8.970917474040822e-16,0.0,156921.40625,0.0,62768.5625,300.4649353027344,3.5474182372637814e-18,1.0009822845458984,0.0,1.232702082973997e-15,0.0,1.848115425673313e-05,6.694697731290944e-06,0.0,0.0007723763701505,-0.0044978293590247,0.0498027540743351,0.0
1.4551659432981978e-06,0.0,0.0003078423615079,0.7277433276176453,0.0,9.220451262719573e-16,0.0,156921.21875,0.0,62768.48828125,300.4649353027344,3.646096748438295e-18,1.0007730722427368,0.0,1.2669922001403377e-15,0.0,1.848115243774373e-05,8.061412700044457e-06,8.194136652657765e-28,0.0008293216815218,-0.0050922762602567,0.0516078025102615,0.0
1.7818283595261164e-06,0.0,0.0003397097170818,0.7277424931526184,0.0,9.475383827645882e-16,0.0,156921.03125,0.0,62768.4140625,300.46490478515625,3.7469110399544194e-18,1.000543475151062,0.0,1.302024318168473e-15,0.0,1.848115243774373e-05,9.599817531125154e-06,7.901103041241844e-28,0.0008877723594196,-0.0057458877563476,0.0533975400030612,0.0
2.15203499465133e-06,0.0,0.0003722874389495,0.727741539478302,0.0,9.737203829224554e-16,0.0,156920.8125,0.0,62768.328125,300.46490478515625,3.8504492372276834e-18,1.0002923011779783,0.0,1.3380031013942837e-15,0.0,1.848115243774373e-05,1.1324148545099888e-05,0.0,0.0009477795683778,-0.0064625837840139,0.0551749914884567,0.0
2.568986474216217e-06,0.0,0.0004055912722833,0.7277405261993408,0.0,1.0006191847119366e-15,0.0,156920.578125,0.0,62768.234375,300.4648742675781,3.9568225960504714e-18,1.0000182390213013,0.0,1.3749670898168692e-15,0.0,1.8481150618754327e-05,1.324979166383855e-05,-5.959193174623541e-28,0.0010093965101987,-0.007246573921293,0.0569428652524948,0.0
3.036099769815337e-06,0.0,0.0004396373115014,0.7277393937110901,0.0,1.0282605167588046e-15,0.0,156920.328125,0.0,62768.1328125,300.46484375,4.066133273228434e-18,0.9997198581695556,0.0,1.4129515411826594e-15,0.0,1.8481148799764924e-05,1.5393379726447165e-05,-5.730975291038515e-28,0.0010726788314059,-0.0081023648381233,0.0587036050856113,0.0
3.5570235468185274e-06,0.0,0.0004744420584756,0.7277382016181946,0.0,1.0566488259860325e-15,0.0,156920.0625,0.0,62768.0234375,300.4648132324219,4.178398225964131e-18,0.9993956685066224,0.0,1.4519628082387589e-15,0.0,1.8481148799764924e-05,1.777289799065329e-05,0.0,0.0011376847978681,-0.009034814313054,0.0604594312608242,0.0
